"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2014-05-13","90.1","1.58","5.83","Keuchel, Dallas",425902,572971,"grounded_into_double_play","hit_into_play",,,,,"4","Prince Fielder grounds into a double play, third baseman Matt Dominguez to first baseman Jesus Guzman.   Elvis Andrus out at 2nd.    Prince Fielder out at 1st.","R","L","L","HOU","TEX","X","5","ground_ball","3","1",2014,"1.49","0.74","-0.30","2.37","null","null","462101","1","9","Top",117.47,148.59,,,"449786",,"140513_215507",-8.76,-130.88,-3.95,20.19,27.86,-25.62,"3.28","1.57","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","71","5","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.7","1.47","5.91","Keuchel, Dallas",425902,572971,"null","called_strike",,,,,"4","Prince Fielder grounds into a double play, third baseman Matt Dominguez to first baseman Jesus Guzman.   Elvis Andrus out at 2nd.    Prince Fielder out at 1st.","R","L","L","HOU","TEX","S","null","null","3","0",2014,"1.37","0.28","-0.43","2.90","null","null","462101","1","9","Top","null","null",,,"449786",,"140513_215450",-8.51,-130.45,-1.72,18.59,27.08,-31.11,"3.64","1.61","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","71","4","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","89.5","1.47","5.94","Keuchel, Dallas",425902,572971,"null","ball",,,,,"11","Prince Fielder grounds into a double play, third baseman Matt Dominguez to first baseman Jesus Guzman.   Elvis Andrus out at 2nd.    Prince Fielder out at 1st.","R","L","L","HOU","TEX","B","null","null","2","0",2014,"1.33","0.67","-1.31","3.15","null","null","462101","1","9","Top","null","null",,,"449786",,"140513_215432",-10.61,-130,-1.97,17.89,28.34,-26.49,"3.49","1.76","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","71","3","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"FC","2014-05-13","86.4","1.35","5.89","Keuchel, Dallas",425902,572971,"null","ball",,,,,"13","Prince Fielder grounds into a double play, third baseman Matt Dominguez to first baseman Jesus Guzman.   Elvis Andrus out at 2nd.    Prince Fielder out at 1st.","R","L","L","HOU","TEX","B","null","null","1","0",2014,"0.43","0.81","-1.60","2.07","null","null","462101","1","9","Top","null","null",,,"449786",,"140513_215417",-8.62,-125.41,-4.37,6.42,25.18,-25.32,"3.49","1.8","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","71","2","Cutter","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","80.0","1.66","5.77","Keuchel, Dallas",425902,572971,"null","ball",,,,,"13","Prince Fielder grounds into a double play, third baseman Matt Dominguez to first baseman Jesus Guzman.   Elvis Andrus out at 2nd.    Prince Fielder out at 1st.","R","L","L","HOU","TEX","B","null","null","0","0",2014,"-0.47","0.28","-0.65","1.33","null","null","462101","1","9","Top","null","null",,,"449786",,"140513_215359",-4.58,-116.29,-3.33,-3.33,22.8,-31.38,"3.5","1.77","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","71","1","Slider","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","79.6","1.58","5.71","Keuchel, Dallas",134181,572971,"field_out","hit_into_play",,,,,"13","Adrian Beltre flies out to left fielder L.  J. Hoes.","R","R","L","HOU","TEX","X","7","fly_ball","0","2",2014,"-0.34","0.34","-1.33","0.93","null","null","462101","0","9","Top",64.26,112.45,,,"449786",,"140513_215310",-6.19,-115.69,-4.14,-2.01,22.57,-30.8,"3.48","1.61","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","70","3","Slider","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","78.3","1.61","5.88","Keuchel, Dallas",134181,572971,"null","swinging_strike",,,,,"7","Adrian Beltre flies out to left fielder L.  J. Hoes.","R","R","L","HOU","TEX","S","null","null","0","1",2014,"-0.46","0.05","-0.28","1.87","null","null","462101","0","9","Top","null","null",,,"449786",,"140513_215251",-3.58,-114.09,-1.65,-3.17,20,-33.45,"3.48","1.61","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","70","2","Slider","8","0","0","8","0","8","0","8","null","null"
"CH","2014-05-13","79.2","1.57","5.74","Keuchel, Dallas",134181,572971,"null","called_strike",,,,,"9","Adrian Beltre flies out to left fielder L.  J. Hoes.","R","R","L","HOU","TEX","S","null","null","0","0",2014,"1.73","0.81","0.46","1.78","null","null","462101","0","9","Top","null","null",,,"449786",,"140513_215236",-6.45,-115.04,-3.15,17.88,22.14,-26.4,"3.95","1.84","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","null","null","null","null","null","70","1","Changeup","8","0","0","8","0","8","0","8","null","null"
"FT","2014-05-13","87.9","1.63","5.8","Keuchel, Dallas",462101,572971,"single","hit_into_play",,,,,"6","Elvis Andrus singles on a ground ball to right fielder George Springer.","R","R","L","HOU","TEX","X","9","ground_ball","0","0",2014,"1.53","0.8","0.73","2.53","null","null","null","0","9","Top",180.72,95.38,,,"449786",,"140513_215200",-6.18,-127.9,-3.29,19.79,25.45,-25.15,"3.23","1.45","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0.9","null","1","0","null","69","1","2-Seam Fastball","8","0","0","8","0","8","0","8","null","null"
"SL","2014-05-13","79.5","1.51","5.66","Keuchel, Dallas",425783,572971,"strikeout","swinging_strike_blocked",,,,,"13","Shin-Soo Choo strikes out swinging.","R","L","L","HOU","TEX","S","2","null","2","2",2014,"0.27","-0.35","-0.25","0.31","null","455139","null","2","8","Top","null","null",,,"449786",,"140513_214133",-4.81,-115.58,-3.89,3.78,25.61,-37.18,"3.16","1.47","null","null","null","null","null","null",381128,572971,"449786","461882","514888","518625","542340","543321","451594","543807","50","null","null","0","null","0","0","null","65","5","Slider","8","0","0","8","0","8","0","8","null","null"
